ID,Name,Description,ParameterDescription,AscControllerEventCategoryID,EventSeverityID
0,Phase On,"Set when NEMA Phase On becomes active, either upon start of green or walk interval, whichever occurs first.",Phase # (1-16),0,3
1,Phase Begin Green,Set when either solid or flashing green indication has begun.  Do not set repeatedly during flashing operation.,Phase # (1-16),0,3
2,Phase Check, Set when a conflicting call is registered against the active phase.   (Marks beginning of MAX timing),Phase # (1-16),0,3
3,Phase Min Complete,Set when phase min timer expires., Phase # (1-16),0,3
4,Phase Gap Out,"Set when phase gaps out, but may not necessarily occur upon phase termination.  Event may be set multiple times within a single green under simultaneous gap out.",Phase # (1-16),0,3
5,Phase Max Out,"Set when phase MAX timer expires, but may not necessarily occur upon phase termination due to last car passage or other features.",Phase # (1-16),0,3
6,Phase Force Off,Set when phase force off is applied to the active green phase.,Phase # (1-16),0,3
7,Phase Green Termination,Set when phase green indications are terminated into either yellow clearance or permissive (FYA) movement.,Phase # (1-16),0,3
8,Phase Begin Yellow Clearance,Set when phase yellow indication becomes active and clearance timer begins.,,0,3
9,Phase End Yellow Clearance,Set when phase yellow indication become inactive.,,0,3
10,Phase Begin Red Clearance,Set only if phase red clearance is served.  Set when red clearance timing begins.,Phase # (1-16),0,3
11,Phase End Red Clearance,"Set only if phase red clearance is served.  Set when red clearance timing concludes.   This may not necessarily coincide with completion of the phase, especially during clearance of trailing overlaps, red revert timing, red rest, or delay for other ring terminations.",Phase # (1-16),0,3
12,Phase Inactive,"Set when the phase is no longer active within the ring, including completion of any trailing overlaps or end of barrier delays for adjacent ring termination.",Phase # (1-16),0,3
21,Pedestrian Begin Walk,Set when walk indication becomes active.,Phase # (1-16),0,3
22,Pedestrian Begin Clearance,Set when flashing don’t walk indication becomes active.,Phase # (1-16),0,3
23,Pedestrian Begin Solid Don’t Walk,"Set when don’t walk indication becomes solid (non flashing) from either termination of ped clearance, or head illumination after a ped dark interval.",Phase # (1-16),0,3
24,Pedestrian Dark,Set when the pedestrian outputs are set off.,Phase # (1-16),0,3
31,Barrier Termination,Set when all active phases become inactive in the ring and cross barrier phases are next to be served.,Barrier #(1-8),0,3
32,FYA – Begin Permissive,Set when flashing yellow arrow becomes active.,FYA # (1-4),0,3
33,FYA – End Permissive,Set when flashing yellow arrow becomes inactive through either clearance of the permissive movement or transition into a protected movement.,FYA # (1-4),0,3
41,Phase Hold Active,"Set when phase hold is applied by the coordinator, preemptor, or external logic.   Phase does not necessarily need to be actively timing for this event to occur.",Phase # (1-16),0,3
42,Phase Hold Released ,"Set when phase hold is released by the coordinator, preemptor, or external logic.   Phase does not necessarily need to be actively timing for this event to occur.",Phase # (1-16),0,3
43,Phase Call Registered,Call to service on a phase is registered by vehicular demand.   This event will not be set if a recall exists on the phase.,Phase # (1-16),0,3
44,Phase Call Dropped,Call to service on a phase is cleared by either service of the phase or removal of call.,Phase # (1-16),0,3
45,Pedestrian Call Registered,Call to service on a phase is registered by pedestrian demand.   This event will not be set if a recall exists on the phase.,Phase # (1-16),0,3
46,Phase Omit On,"Set when phase omit is applied by the coordinator, preemptor, or other dynamic sources.  Phase does not necessarily need to be actively timing for this event to occur.  This event is not set when phase is removed from the active sequence or other configuration-level change has occurred.",Phase # (1-16),0,3
47,Phase Omit Off,"Set when phase omit is released by the coordinator, preemptor, or other dynamic sources.  Phase does not necessarily need to be actively timing for this event to occur.  This event is not set when phase is added from the active sequence or other configuration-level change has occurred.",Phase # (1-16),0,3
48,Pedestrian Omit On,"Set when ped omit is applied by the coordinator, preemptor, or other dynamic sources.  Phase does not necessarily need to be actively timing for this event to occur.  This event is not set when phase is removed from the active sequence or other configuration-level change has occurred.",Phase # (1-16),0,3
49,Pedestrian Omit Off,"Set when ped omit is released by the coordinator, preemptor, or other dynamic sources.  Phase does not necessarily need to be actively timing for this event to occur.  This event is not set when phase is added from the active sequence or other configuration-level change has occurred.",Phase # (1-16),0,3
61,Overlap Begin Green,Set when overlap becomes green. Do not set repeatedly when overlap is flashing green.   Note that overlap colors are consistent to the GYR intervals resultant from the controller programming and may not be indicative of actual signal head colors.,"Overlap # (as number A=1 B=2, etc)",0,3
62,Overlap Begin Trailing Green (Extension),Set when overlap is green and extension timers begin timing.,"Overlap # (as number A=1 B=2, etc)",0,3
63,Overlap Begin Yellow,Set when overlap is in a yellow clearance state.   Note that overlaps which drive yellow field indications during a dwell state may be reported as green or inactive. (common to mid-block signals),"Overlap # (as number A=1 B=2, etc)",0,3
64,Overlap Begin Red Clearance,Set when overlap begins timing red clearance intervals.,"Overlap # (as number A=1 B=2, etc)",0,3
65,Overlap Off (Inactive with red indication),"Set when overlap has completed all timing, allowing any conflicting phase next to begin service.","Overlap # (as number A=1 B=2, etc)",0,3
66,Overlap Dark,Set when overlap head is set dark (no active outputs).  The end of this interval shall be recorded by either an overlap off state or other active overlap state.,"Overlap # (as number A=1 B=2, etc)",0,3
67,Pedestrian Overlap Begin Walk,Set when walk indication becomes active.,"Overlap # (as number A=1 B=2, etc)",0,3
68,Pedestrian Overlap Begin Clearance,Set when flashing don’t walk indication becomes active.,"Overlap # (as number A=1 B=2, etc",0,3
69,Pedestrian Overlap Begin Solid Don’t Walk,"Set when don’t walk indication becomes solid (non flashing) from either termination of ped clearance, or head illumination after a ped dark interval.","Overlap # (as number A=1 B=2, etc)",0,3
70,Pedestrian Overlap Dark,Set when the pedestrian outputs are set off.,"Overlap # (as number A=1 B=2, etc)",0,3
81,Detector Off,Detector on and off events shall be triggered post any detector delay/extension processing.,DET Channel # (1-64),1,3
82,Detector On,Detector on and off events shall be triggered post any detector delay/extension processing.,DET Channel # (1-64),1,3
83,Detector Restored,Detector restored to non-failed state by either manual restoration or re-enabling via continued diagnostics.,DET Channel # (1-64),1,3
84,Detector Fault- Other,Detector failure logged upon local controller diagnostics only (not system diagnostics).,DET Channel # (1-64),1,3
85,Detector Fault- Watchdog Fault,Detector failure logged upon local controller diagnostics only (not system diagnostics).,DET Channel # (1-64),1,3
86,Detector Fault- Open Loop Fault,Detector failure logged upon local controller diagnostics only (not system diagnostics).,DET Channel # (1-64),1,3
87,Detector Fault- Shorted Loop Fault,Detector failure logged upon local controller diagnostics only (not system diagnostics).,DET Channel # (1-64),1,3
88,Detector Fault- Excessive Change Fault,Detector failure logged upon local controller diagnostics only (not system diagnostics).,DET Channel # (1-64),1,3
89,PedDetector Off,Ped detector events shall be triggered post any detector delay/extension processing and may be set multiple times for a single pedestrian call.   (with future intent to eventually support ped presence and volume),DET Channel # (1-16),1,3
90,PedDetector On,,DET Channel # (1-16),1,3
91,Pedestrian Detector Failed,Detector failure logged upon local controller diagnostics only (not system diagnostics).,Ped Det # (1-16),1,3
92,Pedestrian Detector Restored,Detector failure logged upon local controller diagnostics only (not system diagnostics).,Ped Det # (1-16),1,3
101,Preempt Advance Warning Input,Set when preemption advance warning input is activated.,Preempt # (1-10),3,3
102,Preempt (Call) Input On,Set when preemption input is activated.   (prior to preemption delay timing)   May be set multiple times if input is intermittent during preemption service.,Preempt # (1-10),3,3
103,Preempt Gate Down Input Received,Set when gate down input is received by the controller (if available).,Preempt # (1-10),3,3
104,Preempt (Call) Input Off,Set when preemption input is de-activated.    May be set multiple times if input is intermittent preemption service.,Preempt # (1-10),3,3
105,Preempt Entry Started,Set when preemption delay expires and controller begins transition timing (force off) to serve preemption.,Preempt # (1-10),3,3
106,Preemption Begin Track Clearance,Set when track clearance phases are green and track clearance timing begins.,Preempt # (1-10),3,3
107,Preemption Begin Dwell Service,Set when preemption dwell or limited service begins or minimum dwell timer is reset due to call drop and reapplication.,Preempt # (1-10),3,3
108,Preemption Link Active On,Set when linked preemptor input is applied from active preemptor.,Preempt # (1-10),3,3
109,Preemption Link Active Off,Set when linked preemptor input is dropped from active preemptor.,Preempt # (1-10),3,3
110,Preemption Max Presence Exceeded,Set when preemption max presence timer is exceeded and preemption input is released from service.,Preempt # (1-10),3,3
111,Preemption Begin Exit Interval,Set when preemption exit interval phases are green and exit timing begins.,Preempt # (1-10),3,3
112,TSP Check In,Set when request for priority is received.,TSP #(1-10),3,3
113,TSP Adjustment to Early Green,Set when controller is adjusting active cycle to accommodate early service to TSP phases.,TSP #(1-10),3,3
114,TSP Adjustment to Extend Green,Set when controller is adjusting active cycle to accommodate extended service to TSP phases.,TSP #(1-10),3,3
115,TSP Check Out,Set when request for priority is retracted.,TSP #(1-10),3,3
131,Coord Pattern Change,"Coordination pattern that is actively running in the controller.   (Highest priority of TOD, System or manual command).   This event will not be reapplied if coordination is temporarily suspended for preemption or other external control.",Pattern  # (0-255),9,3
132,Cycle Length Change,"This event shall be populated upon selection of a new coordination pattern change that selects a new cycle length.   Cycle lengths in excess of 255 shall record this event with a 255 parameter, requiring controller database lookup for this actual value.",Seconds (0-255),9,3
133,Offset Length Change,"This event shall be populated upon selection of a new coordination pattern change that selects a new cycle length.   Offsets in excess of 255 shall record this event with a 255 parameter, requiring controller database lookup for this actual value. ",Seconds (0-255),9,3
134,Split 1 Change,New Split Time in Seconds (0-255),,9,3
135,Split 2 Change,New Split Time in Seconds (0-255),,9,3
136,Split 3 Change,New Split Time in Seconds (0-255),,9,3
137,Split 4 Change,New Split Time in Seconds (0-255),,9,3
138,Split 5 Change,New Split Time in Seconds (0-255),,9,3
139,Split 6 Change,New Split Time in Seconds (0-255),,9,3
140,Split 7 Change,New Split Time in Seconds (0-255),,9,3
141,Split 8 Change,New Split Time in Seconds (0-255),,9,3
142,Split 9 Change,New Split Time in Seconds (0-255),,9,3
143,Split 10 Change,New Split Time in Seconds (0-255),,9,3
144,Split 11 Change,New Split Time in Seconds (0-255),,9,3
145,Split 12 Change,New Split Time in Seconds (0-255),,9,3
146,Split 13 Change,New Split Time in Seconds (0-255),,9,3
147,Split 14 Change,New Split Time in Seconds (0-255),,9,3
148,Split 15 Change,New Split Time in Seconds (0-255),,9,3
149,Split 16 Change,New Split Time in Seconds (0-255),,9,3
150,Coord cycle state change,"Parameter is defined as: 1 = In Step, 2 = Transition - Add,3 = Transition - Subtract,4 = Transition - Dwell,5 = Local Zero,6 = Begin Pickup",Parameter (0-6),9,3
151,Coordinated phase yield point,,Phase # (1-16),9,3
173,Unit Flash Status change,See NTCIP 1202 2.4.5 for definition,NTCIP Flash state # (0-255),10,3
174,Unit Alarm 1 change,Unit Alarm 1 set on/off,,10,3
175,Unit Alarm Group change,Unit Alarm Group set on/off,,10,3
176,Special Function Output on,Special function output as defined by the local controller.,Special Function # (0-255),10,3
177,Special Function Output off,Special function output as defined by the local controller.,Special Function # (0-255),10,3
178,Manual control enable off/on,,"Manual control enable off/on # (0,1)",10,3
179,Interval Advance off/on,"leading edge on (1), lagging edge (0) optional","Interval Advance off/on # (0,1)",10,3
180,Stop Time Input off/on ,"Set when stop time input is applied or removed, regardless of source of stop","Stop Time Input Advance off/on # (0,1)",10,3
181,Controller Clock Updated,"Set when the controller OS clock is adjusted via communications, OS command, or external input.",Optional parameter: Time correction in Seconds (0-255),10,3
182,Power Failure Detected,Line voltage drops between 0-89 volts AC for more than 100 ms,,10,3
183,Ramp Meter - Power Restored,Line voltage applied/reapplied greater than 98 volts AC,,6,3
184,Power Restored,Line voltage applied/reapplied greater than 98 volts AC,,10,3
300,Recorded Split 1,Actual Split Time in Seconds (0-255),,9,3
301,Recorded Split 2,Actual Split Time in Seconds (0-255),,9,3
302,Recorded Split 3,Actual Split Time in Seconds (0-255),,9,3
303,Recorded Split 4,Actual Split Time in Seconds (0-255),,9,3
304,Recorded Split 5,Actual Split Time in Seconds (0-255),,9,3
305,Recorded Split 6,Actual Split Time in Seconds (0-255),,9,3
306,Recorded Split 7,Actual Split Time in Seconds (0-255),,9,3
307,Recorded Split 8,Actual Split Time in Seconds (0-255),,9,3
308,Recorded Split 9,Actual Split Time in Seconds (0-255),,9,3
309,Recorded Split 10,Actual Split Time in Seconds (0-255),,9,3
310,Recorded Split 11,Actual Split Time in Seconds (0-255),,9,3
311,Recorded Split 12,Actual Split Time in Seconds (0-255),,9,3
312,Recorded Split 13,Actual Split Time in Seconds (0-255),,9,3
313,Recorded Split 14,Actual Split Time in Seconds (0-255),,9,3
314,Recorded Split 15,Actual Split Time in Seconds (0-255),,9,3
315,Recorded Split 16,Actual Split Time in Seconds (0-255),,9,3
316,Actual Cycle Length,Actual Cycle Time in Seconds,,9,3
317,Actual Natural Cycle Length,Actual Natural Cycle Time in Seconds,,9,3
318,Actual Cycle Offset,Actual Cycle Offset in Seconds,,9,3
319,Seq Change Request,Sequence changed requested,,9,3
320,Master Cycle Zero,Master Cycle Zero point,,9,3
321,Coord - Oversize Ped,Oversized ped served in coord,,9,3
322,TSP Delay Time,Tracks the time from TSP arrival to when TSP phase service begins.,Time in Sec,3,3
400,Time Drift (sec),Recorded controller time drift in seconds.,,5,3
500,Total Comm Attempts,Total number of communication attempts in last period.,,5,3
501,Failed Comm Attempts,Number of failed communication attempts in last period.,,5,3
502,Percent Comm Loss,Percent of failed attempts in last period.,,5,3
503,Average Response Time (ms),The average response time of the status polling attempt over the last period.,,5,3
517,TSP Hold Time,The amount of time the TSP request held the active phase past the programmed force off or max green time.,Time in Sec,3,3
518,TSP Early Term Time,The amount time the TSP request terminated the active phase before the programmed force off or max green time.,Time in Sec,3,3
519,TSP Delay Begin,Set when the TSP delay interval begins.,TSP #(1-10),3,3
520,TSP Delay End,Set when the TSP delay interval begins.,TSP #(1-10),3,3
521,TSP Arrival,Set when the TSP delay interval begins.,TSP #(1-10),3,3
600,Sequence Entry,Set when a new sequence is started,Sequence Number,9,3
601,Pri/Pre Det Low On,Set when pri/pre detector low call is received,Det Number,3,3
602,Pri/Pre Det Low Off,Set when pri/pre detector low call is cleared,Det Number,3,3
603,Pri/Pre Det High On,Set when pri/pre detector high call is received,Det Number,3,3
604,Pri/Pre Det High Off,Set when pri/pre detector high call is cleared,Det Number,3,3
605,Pri/Pre Det Fault - No Activity,,Det Number,3,3
606,Pri/Pre Det Fault - Max Presence,,Det Number,3,3
607,Pri/Pre Det Fault - Erratic Count,,Det Number,3,3
608,Pri/Pre Det Fault - Cleared,,Det Number,3,3
609,Pri/Pre Det Fault - Active,,Det Number,3,3
610,TSP Begin Service,Set when a prioritor service is started.,Prioritor Number,3,3
611,TSP Begin End,Set when a prioritor service has ended.,Prioritior Number,3,3
